quantity,order_number,pure_price,sent_price,tax

3,77035400253,600.0,50,54.0

2,77317392705,400.0,50,36.0

2,48490878064,400.0,50,36.0

2,58575358681,400.0,50,36.0
2,17205776449,400.0,50,36.0
2,69210796651,400.0,50,36.0
2,17872855648,400.0,50,36.0
2,25222361835,400.0,50,36.0
2,77647903047,400.0,50,36.0
3,28936814141,600.0,50,54.0
2,66101332356,400.0,50,36.0
1,11297616397,200.0,50,18.0
2,26762954474,400.0,50,36.0
2,99778287707,400.0,50,36.0
3,82089743964,600.0,50,54.0
3,50938787910,600.0,50,54.0
3,86328940438,600.0,50,54.0
10,22451534525,2250.0,50,202.5
2,35772280087,400.0,50,36.0
